canonicalName,domain,uiControl,simCasePath,simulationInputWrite,actualConsumer,consumerEvidence,evaluationKind,activation,primaryObservations,unitRule,samplingLocation,perturbationRule,shortPassCriterion,runnable,blockReason
electrical.mode,electrical,BoundaryModeDropDown|AdvancedBoundaryModeDropDown,controls.electrical.mode,"routeA_panel_build_simulation_input -> boundary.type -> electricalLoad.input_type","routeA_panel_build_simulation_input -> boundary.type -> electricalLoad.input_type; block parameter input_type; reference state SimulationInput_block_parameter",SimulationInput_block_parameter,physical_response,always active for this case,stack.current; stack.voltage; stack.power,"input -; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",switch to an alternate legal boundary mode with its matching command,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
electrical.current.profile,electrical,BoundaryCommandEditField|AdvancedBoundaryCommandEditField|AdvancedCommandProfileEditField,controls.electrical.profile,"SimulationInput.setVariable(drive_cycle_*); routeA_command_profile","SimulationInput.setVariable(drive_cycle_*); routeA_command_profile; model variable drive_cycle_current; reference state write_target_library_boundary_verified",write_target_library_boundary_verified,physical_response,electrical.mode=Current,stack.current; stack.voltage; stack.power,"input A; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
electrical.power.profile,electrical,BoundaryCommandEditField|AdvancedBoundaryCommandEditField|AdvancedCommandProfileEditField,controls.electrical.profile,"SimulationInput.setVariable(drive_cycle_*); routeA_command_profile","SimulationInput.setVariable(drive_cycle_*); routeA_command_profile; model variable drive_cycle_power; reference state write_target_library_boundary_verified",write_target_library_boundary_verified,physical_response,electrical.mode=Power,stack.current; stack.voltage; stack.power,"input kW; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
electrical.voltage.profile,electrical,BoundaryCommandEditField|AdvancedBoundaryCommandEditField|AdvancedCommandProfileEditField,controls.electrical.profile,"SimulationInput.setVariable(drive_cycle_*); routeA_command_profile","SimulationInput.setVariable(drive_cycle_*); routeA_command_profile; model variable drive_cycle_voltage; model users System_Control_Observability/Electrical Load/Inputs/Voltage Demand/Voltage Reference",write_target_referenced,physical_response,electrical.mode=Voltage,stack.current; stack.voltage; stack.power,"input V; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
electrical.voltageController.Kp_A_V,electrical,AdvancedKpEditField,controls.electrical.voltageController.Kp_A_V,"SimulationInput.setVariable(routeA_voltage_pi_Kp)","SimulationInput.setVariable(routeA_voltage_pi_Kp); model variable routeA_voltage_pi_Kp; model users System_Control_Observability/Electrical Load/Inputs/Voltage Demand/Raw PI Diagnostic; System_Control_Observability/Electrical Load/Inputs/Voltage Demand/Voltage PI",write_target_referenced,physical_response,electrical.mode=Voltage,stack.current; stack.voltage; stack.power,"input A/V; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
electrical.voltageController.Ki_A_V_s,electrical,AdvancedKiEditField,controls.electrical.voltageController.Ki_A_V_s,"SimulationInput.setVariable(routeA_voltage_pi_Ki)","SimulationInput.setVariable(routeA_voltage_pi_Ki); model variable routeA_voltage_pi_Ki; model users System_Control_Observability/Electrical Load/Inputs/Voltage Demand/Raw PI Diagnostic; System_Control_Observability/Electrical Load/Inputs/Voltage Demand/Voltage PI",write_target_referenced,physical_response,electrical.mode=Voltage,stack.current; stack.voltage; stack.power,"input A/V/s; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
electrical.voltageController.currentMin_A,electrical,AdvancedCurrentMinEditField,controls.electrical.voltageController.currentMin_A,"SimulationInput.setVariable(routeA_voltage_current_min_A)","SimulationInput.setVariable(routeA_voltage_current_min_A); model variable routeA_voltage_current_min_A; model users System_Control_Observability/Electrical Load/Inputs/Voltage Demand/Voltage PI",write_target_referenced,physical_response,electrical.mode=Voltage,stack.current; stack.voltage; stack.power,"input A; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
electrical.voltageController.currentMax_A,electrical,AdvancedCurrentMaxEditField,controls.electrical.voltageController.currentMax_A,"SimulationInput.setVariable(routeA_voltage_current_max_A)","SimulationInput.setVariable(routeA_voltage_current_max_A); model variable routeA_voltage_current_max_A; model users System_Control_Observability/Electrical Load/Inputs/Voltage Demand/Voltage PI",write_target_referenced,physical_response,electrical.mode=Voltage,stack.current; stack.voltage; stack.power,"input A; primary observation units declared in observation registry: stack.current, stack.voltage, stack.power","stack electrical/thermal observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.airControlMode,cathode,AirControlModeDropDown|AdvancedAirControlModeDropDown,controls.cathode.airControlMode,"SimulationInput.setVariable(routeA_air_control_mode_id)","SimulationInput.setVariable(routeA_air_control_mode_id); model variable routeA_air_control_mode_id; model users Cathode_Air_cEGR_BOP/Oxygen
Source/Compressor Control/A98_AirModeDirectCmd; Cathode_Air_cEGR_BOP/Oxygen
Source/Compressor Control/A98_AirModeTargetMdot",write_target_referenced,physical_response,always active for this case,cathode.compressorInletMassFlow; cegr.actualRatio,"input -; primary observation units declared in observation registry: cathode.compressorInletMassFlow, cegr.actualRatio","cEGR branch flow/valve observers between cathode exhaust split and compressor-inlet mixer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
cathode.targetOer,cathode,OerEditField|AdvancedOerEditField,controls.cathode.targetOer,"routeA_command_profile.air_target_oer","routeA_command_profile.air_target_oer; model variable routeA_command_profile; model users System_Control_Observability/FCU_BoP_Control/RouteA_Command_Profile/Command_Profile_Input",write_target_referenced,physical_response,cathode.airControlMode=2 (OER controller),cathode.inletOxygenStoich; cathode.compressorInletMassFlow,"OER dimensionless; inlet mdot kg/s","registered model observer",farthest legal scalar bound; arrays use shape-preserving in-range perturbation,SimulationInput read-back; referenced consumer; primary model observable changes; declared direction holds when applicable.,1,
